SNo,Channel Name,Channel Description,Channel URL,Channel Subscribers,Channel Videos,Channel Views,Channel Creation Date,Thumbnail Path,Email,Social Links
71,NA MINHA ÉPOCA PODCAST,"Seja bem vindo ao NA MINHA ÉPOCA PODCAST
🔹
Quem nunca sonhou em conversar com aqueles artistas que marcaram a nossa infância? 
🔸
Um canal idealizado e apresentado por Victor Sarro, para um papo de idolo e fã.
🔹
Se você é cringe, seu lugar é AQUI!
",https://www.youtube.com/channel/UCDN9wgy_tcD3EUuZp4I2JqA,38200,24,1587137,,NA MINHA ÉPOCA PODCAST.jpg,"",""
72,TIMEOUT Podcast,"TIMEOUT Podcast. A TheVR Podcastje.",https://www.youtube.com/channel/UCTY9vSAwOVsXw1lE1vBD0Hg,79300,8,1453222,,TIMEOUT Podcast.jpg,"",""
73,Arrowhead Addict: A Kansas City Chiefs Podcast,"FanSided's Arrowhead Addict Podcast discusses the latest Kansas City Chiefs news, analysis and more from the staff at ArrowheadAddict.com

Go Chiefs!
",https://www.youtube.com/channel/UC3CdquRsu60VZcbGMfr1WgQ,4560,130,410440,,Arrowhead Addict: A Kansas City Chiefs Podcast.jpg,"",""
74,Pretty Basic Podcast,"Welcome to Pretty Basic, a weekly podcast hosted by two, twenty-something year old best friends and digital creators, Alisha Marie & Remi Cruz. Each week they welcome listeners into their daily life for a special helping of the tea you're not getting from their wildly popular YouTube channels. From fun lighthearted conversations about dating to sharing their tips on how to feel more confident - each week you'll be left wanting more  content, baby, content.  
",https://www.youtube.com/channel/UCQPAq4FQ9IxSLYtfmrfW-EQ,114000,52,7944182,,Pretty Basic Podcast.jpg,"",""
75,Cortes Podcast xlope,"Esse é um canal de Cortes de Podcast. Principais canais da atualidade está aqui.

cortes podcast,podcast de fluxo,podcast,cortes podpah,cortes do flow,podcast deolane,011 podcast,cortes de podcast,podcast real,como fazer cortes de podcast,canal de cortes podc, GCGKjtjL",https://www.youtube.com/channel/UCQ-0dXYpQxZ5cCR5nezZehw,,395,1437975,,Cortes Podcast xlope.jpg,"",""
76,To Hull and Back Podcast,"To Hull and Back: a footballing podcast discussing all things Hull City!",https://www.youtube.com/channel/UCoDwEN5eS6QRPFQGvNbxi7A,220,33,5097,,To Hull and Back Podcast.jpg,"",""
77,Irmãos Dias Podcast,"Canal OFICIAL  Irmãos Dias Podcast . Aqui você encontrará além das entrevistas completas, TODOS os cortes e shorts das entrevistas.


",https://www.youtube.com/channel/UChBtPExX9RjCdmpAizK7ccQ,183000,617,34351443,,Irmãos Dias Podcast.jpg,"",""
78,Mevzuat Podcast,"Mevzuat Podcast YouTube Kanalı; yapay zekâ tabanlı bir eğitim kanalıdır. Bu kanalda yer alan mevzuatlar, Resmi Gazete'de günü gününe takip edilmekte ve süratle güncellenmektedir. Bu mevzuatlar hazırlanırken son yıllarda yapılan sınavlardaki detaylar dikkate alınmış olup mevzuatta önem arz eden hiçbir husus göz ardı edilmemiştir. Dolayısıyla bu podcastler, 111. Dönem Kaymakam Adaylığına Giriş Sınavına hazırlanan adaylara yeterli ve temel bir kaynak niteliğindedir. Gönül rahatlığıyla dinleyebilir ve izleyebilirsiniz.


",https://www.youtube.com/channel/UCHmx_X4noESIXEkY2VfjowQ,2110,68,81538,,Mevzuat Podcast.jpg,"",""
79,MoneyPlay Podcast,"Não somos apenas um canal de finanças, somos um podcast criado para te ajudar a dar um play no seu dinheiro, apresentado pelo educador financeiro Fabricio Duarte.

Já recebemos convidados como: Charles Wicz (Economista Sincero), Patricia Lages, Mauro Calil (Academia do Dinheiro), Ricardo Brasil (Ganhando a Vida Adoidado), Helô Cruz (Stoxos), Didi Aguiar, William Ribeiro, Luiz Fernando Roxo, Luciana Seabra, Pit Money, Jimmy Carvalho etc.

Inscreva-se no canal para ser notificado nos próximos episódios. 
",https://www.youtube.com/channel/UCQLB9QA7pJVKhqugeybeR0Q,5320,301,456068,,MoneyPlay Podcast.jpg,"",""
80,IMNerd Podcast,"Two nerds. One channel.",https://www.youtube.com/channel/UC1CrlO3mbYfZ_qOixzFEZ6w,259,98,8426,,IMNerd Podcast.jpg,"",""
81,FULL SEND PODCAST,"Hosted by Kyle Forgeard & friends.",https://www.youtube.com/channel/UChPuCAEXg7iYkVNjQY1NGYg,1470000,43,132917059,,FULL SEND PODCAST.jpg,"",""
82,From Cairo Podcast ,"Audio podcast available on Anghami, Spotify, Apple Podcasts, Google Podcasts, Stitcher, Amazon Music, Deezer

Our pages:
https://www.tiktok.com/@fromcairopodcast?
https://www.facebook.com/From-Cairo-Podcast-111976887657863
https://www.instagram.com/fromcairopodcast

Contact: fromcairopodcast@gmail.com


",https://www.youtube.com/channel/UCQKiVqWYAXiA323iPYSNIdQ,2220,37,53954,,From Cairo Podcast .jpg,"fromcairopodcast@gmail.com","https://www.tiktok.com/@fromcairopodcast?
https://www.facebook.com/From-Cairo-Podcast-111976887657863
https://www.instagram.com/fromcairopodcast"
83,Podcastex - podcast o latach 90.,"Niekoniecznie nostalgiczny podcast o latach dziewięćdziesiątych. Prowadzą Bartek Przybyszewski (blog  Liczne rany kłute ) i Mateusz Witkowski (Popmoderna.pl, blog  Popland ). Wizuale i muzyka: Michał Kozikowski. Grafika profilowa: Paweł Kuliński (Pan Kulka). Czyta: Tadeusz Drozda.",https://www.youtube.com/channel/UCP_vrLsdZN4XNgoxgCxPzhg,2260,54,101400,,Podcastex - podcast o latach 90..jpg,"",""
84,MV Podcast,"O podcast mais brabo da internet.",https://www.youtube.com/channel/UCpxGEVSLGurgqXk8Hm7CGHg,47100,15,1203798,,MV Podcast.jpg,"",""
85,AMF Podcast,"Aakash Mehta and Friends Podcast or as we like to call it AMF!
Every week, Aakash Mehta gets one of his many friends from comedy, music, or different walks of life to talk about their journey and how everything worked out for them! Sometimes the conversation gets so deep that it touches your soul and comes back and sometimes it will make you laugh until fall off your chair. Either way, AMF will make sure you have a great time with us!

You can listen to the podcast on Spotify, Apple Podcasts, Amazon Music and also reach out to us : podcasts@lasoonlive.com
",https://www.youtube.com/channel/UCU0kRTzy3f6XeLqSIIt8eMw,4860,84,427517,,AMF Podcast.jpg,"podcasts@lasoonlive.com",""
86,CP - Cortes Podcast,"Canal com os melhores cortes de Podcast!",https://www.youtube.com/channel/UCAsE59Df6WYNPOh5_eg_WoQ,2680,298,1503239,,CP - Cortes Podcast.jpg,"",""
87,SantoFlow Podcast,"Podcast Católico administrado pelo comunicador e missionário Guto Azevedo. Episódios semanais ao vivo e presenciais. ",https://www.youtube.com/channel/UC7_YdQMBjtcorD6ALKCoyPQ,99900,506,6885669,,SantoFlow Podcast.jpg,"",""
88,Geraes Podcast,"Papos gerais com gente das Geraes.

Conversas descompromissadas com mineiros de valor. Conheça as histórias e as curiosidades por trás do sucesso de pessoas de impacto que compartilham da nossa mineiridade.

Realizado por: Bendizê
@estilobendize

arte | música | entretenimento | moda | impacto social
",https://www.youtube.com/channel/UC-O92O60dDUOCkW3iTh3ebw,,87,28154,,Geraes Podcast.jpg,"",""
89,AH PODCAST,"WELCOME TO AH PODCAST!
",https://www.youtube.com/channel/UCdsw5lnMquQplEyqP6UxTVA,578000,23,17131449,,AH PODCAST.jpg,"",""
90,Cortes Podcast One,"Seja muito bem vindo ao Canal Cortes Podcast One.  
Somos um canal dedicado ao compartilhamento de conteúdo exclusivo dos principais canais de podcast do Brasil. 
Esperamos que curtam este conteúdo.

Deixamos aqui nossos agradecimentos aos podcasts e seus idealizadores, que além de promover conteúdo de qualidade, permitir o compartilhamento e disseminação da cultura, informação e entretenimento.  
Caso considerem a remoção de algum conteúdo impróprio, por gentileza enviar um e-mail que faremos a remoção imediata.
",https://www.youtube.com/channel/UCklucZlmXSQoBgbr730oQIg,128000,2189,63767279,,Cortes Podcast One.jpg,"",""
91,Taverna Podcast,"Toda semana o Taverna recebe convidados ilustres de Fernandópolis e região para uma conversa leve e descontraída!
",https://www.youtube.com/channel/UCo2m83OZH7LYwvEgfS6FY8g,1390,97,37750,,Taverna Podcast.jpg,"",""
92,TMI Podcast KE,"The Messy Inbetween Podcast! - Honest conversations about life as it is. Messy. 

Hosted by Lydia K.M. and Murugi Munyi",https://www.youtube.com/channel/UC6fVFxrbf0HDRW3B2mdWFGA,65200,53,3351114,,TMI Podcast KE.jpg,"",""
93,Ópah Podcast,"Criado em Junho de 2021 em Portugal/Algarve, o ÓpahPodcast foi concebido para ser um local de diálogo com liberdade, respeito, clareza, honestidade e bom humor.

💌DOAÇÃO💌
👉opahpodcast@gmail.com (PIX)
👉https://www.paypal.com/donate/?hosted_button_id=X7WXX7CLR4LLW (PAYPAL)

ESPAÇOS DISPONÍVEIS P/ PATROCÍNIO:
1️⃣TV: Apresentação da empresa ou serviço no início do episódio e logo disponível em todo o vídeo.
2️⃣Mesa: Material disponibilizado pelo anunciante, em foco na mesa, durante todo o vídeo.
3️⃣Descrição do episódio: Texto + Link disponível na descrição do episódio.
4️⃣Pós-Roll: Seu anúncio é inserido no FINAL do episódio.
5️⃣Pré-Roll: Seu anúncio é inserido no INÍCIO do episódio.

💖INSTAGRAM💖

Host: Glauber Moreno, @oglaubermoreno 
•Social Media: Haussiram Filho, @haussiramfilho
•Designer: Carol Laltuf, @eicarolys
•Produção: Fran Moreno, @afranlimamoreno  

",https://www.youtube.com/channel/UCOZBvjeMvW99WLtxBYhMkOw,,69,26715,,Ópah Podcast.jpg,"opahpodcast@gmail.com","https://www.paypal.com/donate/?hosted_button_id=X7WXX7CLR4LLW"
94,MÓKA Podcast,"Beszélgetések magyarok amerikai kalandjairól hetente egyszer vasárnap délben a YouTube-on és podcast formájában a Apple Podcast, Google Podcast, Spotify és egyéb podcast közvetítő oldalakon.

A MÓKA projekt 2020 áprilisában indult a világhálón Patkós Attila és Kiss  Sizare  Péter műsorvezetésével a Facebook-on. A Nélküled USA Project videó premierjével indítottunk kis műsorunkat. 
Általunk érdekesnek talált személyekkel beszélgetünk. Remélve történetük pozitív hatást gyakorol a közönségre.

",https://www.youtube.com/channel/UC352BabpKSz_vB2XZYOHMIA,2080,137,343583,,MÓKA Podcast.jpg,"",""
95,Podcast,"",https://www.youtube.com/channel/UCrBrYD3duCnbg0a4ofxmcyA,,88,134767,,Podcast.jpg,"",""
96,Líder Podcast,"Podcasts ao vivo, aos sábados das 16 às 18 horas. Por aqui, em nosso canal e na rádio Irecê Líder FM 103,7. ",https://www.youtube.com/channel/UCafriiOGCJ5b9pErefxuQbw,1070,53,43618,,Líder Podcast.jpg,"",""
97,Podcast Connect Cast,"Connect Cast é um Podcast que conecta pessoas interessadas a assuntos interessantes. Nossa intenção é trocar uma ideia, se conectando com quem tem ideia para trocar!

Apoie o canal através do botão VALEU DEMAIS!

Inscreva-se no nosso canal de cortes oficial e acompanhe os principais trechos dos episódios: https://www.youtube.com/c/CortesdoConnectCastOFICIAL

Instagram: @connect_cast
Host do canal: Alexandre Lemos

",https://www.youtube.com/channel/UCNX-VYQGi_jfErvBN-Ats_Q,28800,128,2616473,,Podcast Connect Cast.jpg,"","https://www.youtube.com/c/CortesdoConnectCastOFICIAL"
98,We Might Be Drunk Podcast,"Sam Morril and Mark Normand ask the question we all ask ourselves after good conversation makes you lose track of how many drinks you have had. We Might Be Drunk Podcast is two New York City comedians telling stories and talking comedy. 

Join the guys every Sunday and share a drink and you might find yourself drunk too.

Become a Patron on Patreon for bonus content each week and get your emails read on the podcast!
",https://www.youtube.com/channel/UCy6A9WMN43DrtBkID7nMXJw,61100,137,5554535,,We Might Be Drunk Podcast.jpg,"",""
99,The Daily Ketchup Podcast,"The official channel for the The Daily Ketchup Podcast.

A news commentary podcast on the latest or weirdest happenings in Singapore and around the world, with a little bit of sauce.

From the people that brought you MOSG and Real Talk.

For business/sponsorship enquiries: singapore.sales@grvty.media
",https://www.youtube.com/channel/UCY6xfL1cyfGQ5RjKR_25x-g,44500,120,6839858,,The Daily Ketchup Podcast.jpg,"singapore.sales@grvty.medi",""
100,The Game Related Podcast," The Game Related Podcast  speaks to everyone in our communities from politicians to former gangsters in an attempt to find solutions to the problems that plagues our urban landscape. Straight out of the Dallas-Fort Worth Metroplex comes one of the most entertaining and empowering Podcast on the airwaves!  The Game Related Podcast  is hosted by Fort Worth community activist, youth advocate, and internet personality Charleston White, Popular Dallas Legend, youth sports coach, internet personality Anthony Dewberry",https://www.youtube.com/channel/UCtlvYWyWNgXC0ZuFsGUNGiA,8800,108,627499,,The Game Related Podcast.jpg,"",""
101,Link Podcast,"O Link Podcast é apresentado pelos jornalistas e apresentadores de TV Reinaldo Gottino, Matheus Baldi e Lucas Selfie.

Aqui você acompanha o que há de melhor no mundo do entretenimento, em conversas com grandes personalidades da música, da televisão, da internet, do esporte e muito mais.

Fique Linkado. Inscreva-se no canal!
",https://www.youtube.com/channel/UCKmWDwRRI-B8tE6dflSkmxg,158000,1483,11164568,,Link Podcast.jpg,"",""
102,Lorota Podcast,"Um papo descontraído sobre tudo!
Casters: @lodrongustavo @felipealves @luisfelipeschettini
Background: @Joaopaulodias
",https://www.youtube.com/channel/UCDjsmmQywNRdbL3_bt_zbUg,810,335,29811,,Lorota Podcast.jpg,"",""
103,Podcast Dentro de Contexto,"Cortes engraçados e muito bem editados",https://www.youtube.com/channel/UCTbdSDudUhVyDeBJuiNGkrQ,4590,238,701307,,Podcast Dentro de Contexto.jpg,"",""
104,Two Brothers Cortes Podcast!,"Canal de cortes (Não Oficial) dos melhores podcasts BRs, vídeos DIÁRIOS SE INCREVA!

cortes podcast,flow podcast,podcast,cortes do flow,cortes podpah,cortes do podpah,como fazer cortes de podcast,podpah podcast,melhor podcast,ouvir podcast,froid podcast,podcast igao e mitico,cortes flow,podcast brasileiro,cortes de podcast,canal de cortes podcast,canal de cortes,flow cortes,como criar canal de cortes,como criar um canal de cortes,como fazer um canal de cortes,como fazer cortes,dinheiro com podcast


",https://www.youtube.com/channel/UCDFKM4uJEfQpU7D90U0IMnw,,239,21580,,Two Brothers Cortes Podcast!.jpg,"",""
105,The Nick Bahe Podcast,"After four seasons playing Division 1 basketball and making it to the NCAA tournament three times, Nick Bahe hung up his basketball shoes and spent the next decade on the radio sharing his unparalleled perspective covering all things Nebraska sports. Today, Nick is a National College Basketball Analyst for Fox Sports and hosts his own podcast to talk about the world of college sports with well-known experts and some of his closest friends. While his roots to the state of Nebraska run deep and frequently have him discussing the Huskers and Bluejays still, on his podcast you can expect to hear a unique and entertaining perspective on the biggest stories in the sports world each week. This is going to be fun!

",https://www.youtube.com/channel/UCVYpXOm3EVbwR2O3RAsTcQQ,1760,37,80393,,The Nick Bahe Podcast.jpg,"",""
106,Man On Podcast,"A warm welcome from the lads at the Man On podcast!

In the last 12 months the podcast has grown from Darren hosting it solo for a few episodes to Thomas joining him as co-host for the majority of the 2020/21 season. 

We have now branched out and become a team of four! We have teamed up with two familiar faces, especially within the Gaffr and ChampMan scene in Craig and Martyn. 

The four of us all enjoy playing various Fantasy Football games, be it FPL, SkyFF, Gaffr, ChampMan, ESN and more.

For videos about all of these games amongst four friends having a good laugh and sharing their advice on strategies etc hit the subscribe button. 

Interaction is really important to us so please do leave us comments or questions whenever you like.
",https://www.youtube.com/channel/UCVQ0yoPCR-ojHMOee2b8DMQ,429,105,31051,,Man On Podcast.jpg,"",""
107,Opt Out Podcast,"Welcome to Opt Out, where I sit down with passionate people to learn why privacy matters to them, the tools and techniques they’ve found and leveraged, and where we encourage and inspire others towards personal privacy and data-sovereignty.",https://www.youtube.com/channel/UCchRxJ9V19KP0I7oYNZ_63g,945,101,12482,,Opt Out Podcast.jpg,"",""
108,Cultura Surf Podcast,"Histórias Inspiradoras contadas por personalidades do Mundo do Surf! Com uma conversa livre e focada, pessoas que vivem a cultura surf e compartilham um pouco desse incrível estilo de vida! Conheça mais dessa cultura livre, indefinível e radical através dos episódios semanais! 

",https://www.youtube.com/channel/UCOkyGUD7dbBsx4XANtmk1mw,1470,108,46243,,Cultura Surf Podcast.jpg,"",""
109,The Ellen Fisher Podcast,"",https://www.youtube.com/channel/UCFfiRZQBwjtQ9NeocvChO-g,23100,27,712680,,The Ellen Fisher Podcast.jpg,"",""
110,Cortes do Pai Podcast,"Cortes do Pai Podcast é um canal de cortes dos melhores podcasts do momento.
Se você quiser assistir o podcast na integrada, o link estará na descrição do corte.
Cola no pai e se inscreva no canal.
Pega a visão e ative o sino para receba a notificação quando o pai tiver on (vídeo novo)

",https://www.youtube.com/channel/UCoxkrgPpQRabfAdLixdsb0w,,50,1879,,Cortes do Pai Podcast.jpg,"",""
111,Já Cortei Podcast,"Os melhores cortes de Podcast já vistos, se inscreva e ative o sininho.",https://www.youtube.com/channel/UCLtyDxmR_fnwphJCdNzDJ3Q,438,1021,100161,,Já Cortei Podcast.jpg,"",""
112,Cortando PodCast,"Para qualquer dúvida, solicitação ou sugestão, envie um e-mail para: canalmusicon21a@gmail.com ou para o contato do canal.",https://www.youtube.com/channel/UCLkT3HPIELrs_FiS1uIvb5Q,5320,60,933,,Cortando PodCast.jpg,"canalmusicon21a@gmail.com",""
113,Isto Não É - PodCast,"Podcasts de temas aleatórios e conversas.

Toda semana, convidados especiais e pessoas interessantes vão falar com os apresentadores sobre, suas historias, opiniões, ideias e muito mais.

Com muito humor, muita conversa, devaneios e um pitaco de falta de senso, os apresentadores vão prender a sua atenção.

Equipe 
 
Felipe Torres / Bruno Drone / Rafael Lima / Sara Araújo - Hosts

Joziel Almeida - Técnica Geral, produção e direção

Guilherme Garcia - Trilha 

Maicon Barrios - Técnica

Willian Maran - Produção

Cortes do Isto Não É - PodCast [OFICIAL]

https://www.youtube.com/channel/UCoGY-yPiCj7MxVsyjRcR_cg

PODCAST

Nos ajude a continuar o PodCast, contribua com qualquer valor
PIX - istonaoepodcast@gmail.com

________________________________________

INSCREVA-SE NO NOSSO CANAL, NÃO CUSTA NADA E AJUDA MUITO!

https://www.youtube.com/istonaoepodcast

_____________________________
Entre no nosso grupo do Telegram 

https://t.me/joinchat/p_P0i5fLTFVkOTRh



",https://www.youtube.com/channel/UC-jgLOHfbUBZuGwbDvms29Q,49300,194,1994700,,Isto Não É - PodCast.jpg,"istonaoepodcast@gmail.com","https://www.youtube.com/channel/UCoGY-yPiCj7MxVsyjRcR_cg
https://www.youtube.com/istonaoepodcast
https://t.me/joinchat/p_P0i5fLTFVkOTRh"
114,Good Good Podcast,"",https://www.youtube.com/channel/UCADVRJMuJV07vEhGn0DcO_Q,70100,31,2968369,,Good Good Podcast.jpg,"",""
115,Lutz Podcast,"",https://www.youtube.com/channel/UCG0FxF6ByyzbYHl_x40TD4g,50200,76,1764987,,Lutz Podcast.jpg,"",""
116,Us Podcast,"O Us Podcast é um canal onde o convidado é a estrela. Assuntos, temas e perfis super variados em bate-papos divertidos, descontraídos, informativos e emocionantes. Comente, dê a sua sugestão de convidados.

Conheça nosso canal de cortes: https://www.youtube.com/channel/UCLdpX3v_OWymO1ISPalhDCg
",https://www.youtube.com/channel/UC-NuZ-oiXK5GCoDBh_wqrcg,2200,110,112844,,Us Podcast.jpg,"","https://www.youtube.com/channel/UCLdpX3v_OWymO1ISPalhDCg"
117,Sense Think Act Podcast,"A long-form, technical podcast about all areas of robotics that is hosted by Audrow Nash and sponsored by Open Robotics.
",https://www.youtube.com/channel/UC2_89LMusoMaEol3MHCeQ_A,212,22,5464,,Sense Think Act Podcast.jpg,"",""
118,TOK SHOW PODCAST,"Tok Show with Remi & Connor is a new commentary podcast series and YouTube that serves as a gathering place for the hottest TikTok creators, celebrities, and fans of the app to collectively explore all the latest happenings on TikTok! Each week, Remi & Connor are joined by guests from an always-fresh list of popular TikTok creators and celebrities to explore the world of TikTok through a variety of rapid-fire games and interactive segments, listener participation, and lively conversations & commentary on the week's biggest TikTok trends and notable videos!",https://www.youtube.com/channel/UCu_wLTqJ4suXf8BNBPgYlfw,186,38,7704,,TOK SHOW PODCAST.jpg,"",""
119,Cortes 011 Podcast [OFICIAL],"Canal oficial de Cortes do 011 Podcast ",https://www.youtube.com/channel/UCOb2Ay4W5gMWxGIYflDf3GA,142000,2853,31348686,,Cortes 011 Podcast [OFICIAL].jpg,"",""
120,Shout Out Podcast,"A weekly episodic podcast where we Shout Out people from all walks of life by inviting them for an in-depth conversation covering a wide range of topics.
The podcast is all about uplifting and promoting our people, it’s all about spreading positive vibes.  

Host: Asalie Peseyie
Editor: Ashemo Ezung


#Naga #Nagaland #Podcast #Shoutout #PositiveVibes #Life",https://www.youtube.com/channel/UC-sprGmYLbhBIR1tSdzhgQw,14600,85,765315,,Shout Out Podcast.jpg,"",""
121,Cometa Podcast,"📬 CAIXA POSTAL
80154 | CEP: 03350-970 | São Paulo - SP
(Especificar que é pro Cometa)

ANFITRIÃO: 
Young Mascka - Instagram
		@youngmasckaoficial
                         

Bruno Fabil - Instagram
		@brunofabil
                         

✂️ CORTES DO COMETA
https://www.youtube.com/channel/UCjQQFLgrCI0Eg-E9p9_ShUA
",https://www.youtube.com/channel/UCGRO5N_Il8JlEayJkvnrY3A,315000,72,13783974,,Cometa Podcast.jpg,"","https://www.youtube.com/channel/UCjQQFLgrCI0Eg-E9p9_ShUA"
122,011 Podcast,"Resenha e papo reto!
",https://www.youtube.com/channel/UCVN_F2QfWdlxRa_Guuxaz6Q,281000,323,17936999,,011 Podcast.jpg,"",""
123,Fora de Área Podcast,"Fora de Área é um podcast idealizado por Nego Di, humorista, ex-bbb, YouTuber, digital influencer, radialista e ex-membro do Pretinho Básico, para entreter o público. Para isso, convidou alguns amigos para fazer parte da mesa de bate-papos. São anfitriões (hosts) também o ex-jogador de futsal e YouTuber Alê Oliveira, ex-comentarista do canal Esporte Interativo e TNT Sports, o jornalista e radialista Duda Garbi, ex-membro do Pretinho Básico, Sala de Redação e comentarista da RBS TV e o YouTuber Boleiro. Juntos, irão debater sobre assuntos do dia-a-dia de cada um,  notícias atuais sobre esporte, cultura, tecnologia, memes, filmes, séries, televisão, música, tendências, piadas, trotes, paródias, entre outros. Porém, com muitas sátiras e piadas. Pois não há nada melhor que a comédia para entreter. 


",https://www.youtube.com/channel/UCwsulROvoO0Ia78x_Av_Rlw,68700,63,3002410,,Fora de Área Podcast.jpg,"",""
124,Le 5 à 7 Podcast,"Un Pas Pire Podcast🎙️

Deux bonnes ricaneuses qui tentent de résoudre les grands questionnements de la vingtaine, tout en ne sachant pas trop comment elles se sont ramassées là
C'est fait pour toi si: 
1. T'es présentement dans ta vingtaine
2. T'as 2-3 questions existentielles auxquelles tes parents répondent '' Eille coco/cocotte fait toi en pas avec ça, ça vas être correct''
3. Tu veux te rappeler des bons souvenirs de ta vingtaine/ t'as des prodigieux conseils à nous faire part en commentaires & en DM
",https://www.youtube.com/channel/UC6VaYmR8OS37ZpVFWk1WxjQ,9080,59,585112,,Le 5 à 7 Podcast.jpg,"",""
125,Superteam Podcast,"Superteam is the podcast that explores the web3 ecosystem in India. While we are currently focussed on the Solana ecosystem in our day jobs, the podcast will continue to be multi-chain and generally focussed around web3 and crypto in India. We do not post sponsored content on this channel, and may from time to time disclose any material holdings/investments if the project is being featured on the show.

You can expect to learn new concepts in web3 and get access to our job board. This is NOT meant to guide your investment strategy and featuring a project does not mean we endorse their token.

If you'd like to be featured on the show, send us an email or find us on twitter (https://twitter.com/SuperteamDAO).


Disclaimer:
The information contained herein is for informational and entertainment purposes only. Nothing herein shall be construed to be financial, legal or tax advice. Trading cryptocurrencies poses considerable 
",https://www.youtube.com/channel/UCi-pkXLbm7sqXFhV1NBLUfQ,80500,27,1747682,,Superteam Podcast.jpg,"","https://twitter.com/SuperteamDAO"
126,The Trinomial Podcast,"For official work contact: sadmansadikofficial@gmail.com, enayetchowdhurybusiness@gmail.com

Hello, everyone. This is our podcast channel where we three, the so-called 'underrated' and 'Intellectual' youtubers, share our thoughts on different contemporary topics, as well as...........whatever we want. As we come from three different professional backgrounds, we think the combined discussion, and sharing of experiences on any topic (as long as we know the a_b_cs of it) will give you an exclusive insight that can't be found on an individual or separate platform. At the end of the day, if we can give you the vibe of  Aaaaaaah, this one hour has not been wasted at all , we will consider it as our success.

Happy listening!

Individual channels:

Khalid Farhan: https://www.youtube.com/channel/UCb-d2dCbEt_T-d3qf3oMICw
Sadman Sadik: https://www.youtube.com/c/sadmansadik
Enayet Chowdhury: https://www.youtube.com/channel/UCwIzJ_UWnn1Uc8d1H8nCuUA 
",https://www.youtube.com/channel/UCLU_ZSD373JBRqVNsqHVJFw,61400,49,3859394,,The Trinomial Podcast.jpg,"sadmansadikofficial@gmail.com
enayetchowdhurybusiness@gmail.com","https://www.youtube.com/channel/UCb-d2dCbEt_T-d3qf3oMICw
https://www.youtube.com/c/sadmansadik
https://www.youtube.com/channel/UCwIzJ_UWnn1Uc8d1H8nCuUA"
127,Na Fisgada Podcast,"Na Fisgada PodCast 🎙️

Aquele bate papo de pesca.... 
A gente estica a linha e você recolhe .

Apresentadores
Dinho: @mixbaits
Lopão: @lopao_pescadorzao
Kiko: @kikopescarino
Ale: @aleboiasvagalume 

Instagram: @nafisgadapodcast

Patrocinadores oficiais

@kingbrasiloficial
@pesqueiro_piscicultura_tambury 
@playpesca 
@martimpescadorvalinhos 
@mix_baits 
@ksa_aromas
@sevenfishingoficial
@boiasvagalume
@vican_rolamentos
@paradadopescador655



#podcast
#pesca
#nafisgada
",https://www.youtube.com/channel/UC2B7C55woVE3QIXj6t0VC8A,3390,162,147543,,Na Fisgada Podcast.jpg,"",""
128,The Panda Podcast,"",https://www.youtube.com/channel/UC2384vLkdP8pjcvEJRWZHaw,3580,86,338385,,The Panda Podcast.jpg,"",""
129,KHiM SOK HENG PodCast,"សូមស្វាគមន៍មកកាន់ប៉ុស្តិ៍ “KHiM SOK HENG PodCast” We inspire what you dream.

ខ្ញុំសង្ឃឹមយ៉ាងមុតមាំថា តាមការធ្វើវីដេអូរបស់យើងខ្ញុំ អាចជួយឱ្យបងប្អូនទាំងអស់គ្នាទទួលបាននូវចំណេះដឹងថ្មីៗ គំនិតទស្សនៈអប់រំល្អៗ គតិក្នុងការចាប់ផ្ដើមធ្វើអ្វីមួយថ្មី និងបទពិសោធន៍ល្អៗ នៅក្នុងការស្ដាប់ប្រកបដោយភាពសប្បាយរីករាយ និងទទួលបានប្រសិទ្ធភាពខ្ពស់ ។ ប្រសិនបើពេញចិត្ត និងគាំទ្រឱ្យមានការផលិតវីដេអូល្អថ្មីដូចនេះបន្ថែមទៀត សូមបងប្អូនជួយ Subscribe, Like និង Share ទៅកាន់មនុស្សជាទីស្រលាញ់ទាំងអស់គ្នាផងណា សូមអរគុណ 😊 អានសៀវភៅដើម្បីមនុស្សជាទីស្រលាញ់ ដើម្បីកម្ពុជា ដើម្បីទាំងអស់គ្នាផងណា 😊
",https://www.youtube.com/channel/UC22ErO421PzGv5n_rm3QX6Q,627,29,20110,,KHiM SOK HENG PodCast.jpg,"",""
130,Pulicorn Podcast,"A Pulicorn Podcast egy fenntartható és filantropikus jövőért küzd a tudományos gondolkodás szórakoztató átadásával. Ha te is részt vennél ezen az izgalmas és formabontó úton, akkor hegyezd a füled, mert a Pulicorn megmutatja az irányt!",https://www.youtube.com/channel/UCYhPY8yqltAvFRcOA00yXkA,1160,55,81529,,Pulicorn Podcast.jpg,"",""
